L1	155.8	101.4	95.9	83.4
L2	154.1	102.2	96.3	84.2
L3	150.3	100.7	95.1	83.4
L4	165.6	107.2	101.5	131.2
L5	106.1	106.9	149.1	81.9
L6	163.3	108.4	148.1	87.9
L7	161.1	105.8	98.1	86.1
L8	150.9	99.3	96	128.3
L9	152.8	99.4	123.9	86.1
L10	149.3	99.6	92.4	82.5
L11	151.9	101.1	95.8	126.2
L12	67.8	56.9	65.7	64.9
L13	79	69.6	83.7	70
L14	76.7	72.9	80.5	71
L15	163.9	106.8	101.3	127.6
L16	91.2	97.8	163.1	74.8
L17	160.3	101.8	164.6	82.7
L18	164	107.8	97.5	87.8
L19	159.6	107.1	99	126.9
L20	163.4	108.8	100.6	131.8
L21	153.6	102.6	98.2	124.6
L22	157.8	100.8	95.1	129.9
L23	158.8	103.1	97	128.9
L24	150.7	102.4	94.2	85
L25	165	107.8	97.4	128.9
L26	153.2	104.1	162.9	88.1
L27	164	109.6	100.1	89.2
L28	154.4	105.6	97.7	81.5
L29	160.7	104.8	99.2	128.3
L30	157.1	97.4	157	82
L31	154.2	103.8	168.1	83.2
L32	154	101.4	95.4	122.9
L33	161.5	107.4	147.1	132.6
L34	160.5	105.4	99	85.8
L35	152.7	100.4	94.9	83.9
L36	161.6	108.8	101.6	129.2
L37	155	99.5	96.3	84
L38	146.6	92.3	81.9	78.4
L39	147.7	93.9	82.8	78.4
L40	162.5	109.9	102.5	85.9
L41	152	102.4	168.5	81.6
L42	99.3	99.6	131.3	94.1
L43	110	98.5	112.8	95.8
L44	157.9	107.9	159.1	86.5
L45	106.1	101.6	143.1	85.2
L46	163.1	110.4	178.4	85.4
L47	161	106.4	151.9	88.1
L48	160.7	109.1	100	85
L49	151.8	105	159.9	85
L50	152.6	102.4	167.5	82.1
L51	145.9	97.8	93.9	84.2
L52	159	104	174	87.2
L53	157.7	102.3	161.8	81
L54	165.6	108.1	103.2	85.5
L55	161.1	108.8	177.1	83.4
L56	150.3	101.3	95.2	80.7
L57	158.3	103	98.5	83.8
L58	144.5	102.6	161.3	78.3
L59	153.4	103.5	98.6	81.3
L60	157.7	104.8	97.7	81.4
L61	153	112.4	102.2	84.4
L62	149.1	102.5	99	81.3
L63	149.6	105.1	168.4	82.1
L64	151.1	103.1	99.8	82.1
L65	163.4	107.6	99.2	84.6
L66	154.7	104.5	170.6	84.8
L67	163.5	113	175.9	90
L68	96.3	101.8	165.6	76.4
L69	159.8	107.8	98.1	84.2
L70	163.7	110.4	102	88.5
L71	153.8	99.4	95.6	85.1
L72	162.3	109.6	156.9	89.8
L73	153.8	103.8	163.2	82.5
L74	151.5	101.9	95.4	83.5
L75	141.4	99.6	154	80.6
L76	161.2	106.4	155.6	88.1
L77	152	102.5	173.3	83.4
L78	99.1	105.9	176.9	83.2
L79	98.3	105.1	169.8	79.1
L80	158.8	101.6	169.3	84.5
L81	99.1	105.6	181.7	80.4
L82	151.6	103	96.1	79.9
L83	100.3	106.4	173.3	80.2
L84	153	106.8	164.2	84.6
L85	158	109.4	179.2	83.5
L86	160	108.7	99.2	87.1
L87	159.2	104.6	96.4	83.1
L88	162	109.1	180.8	84
L89	162.7	111.3	175.4	84
L90	149.7	103.6	164.4	80.1
